,timesteps,rewards,duration
0,4096,0.011425577149795807,0:01:41.567195
1,8192,0.01581364631612145,0:03:35.479673
2,12288,0.027497295579498135,0:05:33.502949
3,16384,0.03243552810938097,0:07:17.426141
4,20480,0.04336539327301932,0:08:56.059442
5,24576,0.05263741908808317,0:10:34.468590
6,28672,0.05633045175351847,0:12:06.021595
7,32768,0.05834888357660617,0:13:38.960537
8,36864,0.06201263077708852,0:15:07.917155
9,40960,0.08611130113308185,0:16:45.461591
10,45056,0.07898983381051439,0:18:17.053560
11,49152,0.09995523612619905,0:19:54.216590
12,53248,0.1190541515389274,0:21:31.503189
13,57344,0.12860649306498573,0:23:08.690429
14,61440,0.1023558220553511,0:24:38.138266
15,65536,0.13831285952200645,0:26:17.150847
16,69632,0.19260099936820652,0:28:03.108902
17,73728,0.1790556915609045,0:29:41.687802
18,77824,0.1874000024868394,0:31:23.135273
19,81920,0.1902707303170672,0:33:03.891012
20,86016,0.21917817734436085,0:34:50.241227
21,90112,0.2391466524260082,0:36:31.938148
22,94208,0.24292399928478403,0:38:13.930143
23,98304,0.25496139920902294,0:39:58.574244
24,102400,0.3381213124520457,0:41:48.920721
